"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale","numberOfFollowers","previousInterestRank"
"Butalbital, Acetaminophen, Caffeine And Codeine Phosphate",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Fioricet W/ Codeine",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Phrenilin With Caffeine And Codeine",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Anoquan",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Butalbital, Acetaminophen And Caffeine",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Butalibital, Acetaminophen And Caffeine",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Esgic",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Esgic-Plus",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Femcet",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Fioricet",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Medigesic Plus",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Triad",0.35,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']","2010-12-13T00:00:00",FALSE,0,1000
"Bancap",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Bucet",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Butalbital And Acetaminophen",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Butapap",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Phrenilin",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Phrenilin Forte",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Sedapap",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Tencon",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Triaprin",0.35,"Therapy","[u'Acetaminophen; Butalbital']","2010-12-13T00:00:00",FALSE,0,1000
"Acetaminophen, Caffeine, And Dihydrocodeine Bitartrate",0.35,"Therapy","[u'Acetaminophen; Caffeine; Dihydrocodeine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Dhc Plus",0.35,"Therapy","[u'Acetaminophen; Caffeine; Dihydrocodeine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Synalgos-Dc-A",0.35,"Therapy","[u'Acetaminophen; Caffeine; Dihydrocodeine Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Tavist Allergy/Sinus/Headache",0.35,"Therapy","[u'Acetaminophen; Clemastine Fumarate; Pseudoephedrine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Acetaminophen And Codeine Phosphate",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Capital And Codeine",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Codrix",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Empracet W/ Codeine Phosphate #3",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Empracet W/ Codeine Phosphate #4",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Papa-Deine #3",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Papa-Deine #4",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Phenaphen W/ Codeine No. 2",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Phenaphen W/ Codeine No. 3",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Phenaphen W/ Codeine No. 4",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Phenaphen-650 W/ Codeine",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Proval #3",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol W/ Codeine",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol W/ Codeine No. 1",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol W/ Codeine No. 2",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol W/ Codeine No. 3",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol W/ Codeine No. 4",0.35,"Therapy","[u'Acetaminophen; Codeine Phosphate']","2010-12-13T00:00:00",FALSE,0,1000
"Drixoral Plus",0.35,"Therapy","[u'Acetaminophen; Dexbrompheniramine Maleate; Pseudoephedrine Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Acetaminophen And Hydrocodone Bitartrate",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Allay",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Anexsia",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Anexsia 5/325",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Anexsia 7.5/325",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Anexsia 7.5/650",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Bancap Hc",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Co-Gesic",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Duradyne Dhc",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Hy-Phen",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Hydrocodone Bitartrate And Acetaminophen",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Lorcet-Hd",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Lortab",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Norcet",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Norco",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Tycolet",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Vicodin",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Vicodin Es",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Vicodin Hp",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Zydone",0.35,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']","2010-12-13T00:00:00",FALSE,0,1000
"Oxycet",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Oxycodone 2.5/Apap 500",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Oxycodone 5/Apap 500",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Oxycodone And Acetaminophen",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Percocet",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Roxicet",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Roxicet 5/500",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Roxilox",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Tylox",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Tylox-325",0.35,"Therapy","[u'Acetaminophen; Oxycodone Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Acetaminophen And Pentazocine Hydrochloride",0.35,"Therapy","[u'Acetaminophen; Pentazocine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Talacen",0.35,"Therapy","[u'Acetaminophen; Pentazocine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Darvocet",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Dolene Ap-65",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Propoxyphene Hydrochloride And Acetaminophen",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Wygesic",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Darvocet A500",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Napsylate']","2010-12-13T00:00:00",FALSE,0,1000
"Darvocet-N 100",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Napsylate']","2010-12-13T00:00:00",FALSE,0,1000
"Darvocet-N 50",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Napsylate']","2010-12-13T00:00:00",FALSE,0,1000
"Propacet 100",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Napsylate']","2010-12-13T00:00:00",FALSE,0,1000
"Propoxyphene Napsylate And Acetaminophen",0.35,"Therapy","[u'Acetaminophen; Propoxyphene Napsylate']","2010-12-13T00:00:00",FALSE,0,1000
"Tramadol Hydrochloride And Acetaminophen",0.35,"Therapy","[u'Acetaminophen; Tramadol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Ultracet",0.35,"Therapy","[u'Acetaminophen; Tramadol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Acephen",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Infants' Feverall",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Injectapap",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Neopap",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Ofirmev",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol (Caplet)",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Tylenol (Geltab)",0.35,"Therapy","[u'Acetaminophen']","2010-12-13T00:00:00",FALSE,0,1000
"Diamox",0.35,"Therapy","[u'Acetazolamide']","2010-12-13T00:00:00",FALSE,0,1000
"Acetic Acid 2% In Aqueous Aluminum Acetate",0.35,"Therapy","[u'Acetic Acid, Glacial; Aluminum Acetate']","2010-12-13T00:00:00",FALSE,0,1000
"Borofair",0.35,"Therapy","[u'Acetic Acid, Glacial; Aluminum Acetate']","2010-12-13T00:00:00",FALSE,0,1000
"Domeboro",0.35,"Therapy","[u'Acetic Acid, Glacial; Aluminum Acetate']","2010-12-13T00:00:00",FALSE,0,1000
"Tridesilon",0.35,"Therapy","[u'Acetic Acid, Glacial; Desonide']","2010-12-13T00:00:00",FALSE,0,1000
"Neo-Cort-Dome",0.35,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone; Neomycin Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Acetasol Hc",0.35,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']","2010-12-13T00:00:00",FALSE,0,1000
"Acetic Acid W/ Hydrocortisone",0.35,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']","2010-12-13T00:00:00",FALSE,0,1000
"Hydrocortisone And Acetic Acid",0.35,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']","2010-12-13T00:00:00",FALSE,0,1000
"Orlex Hc",0.35,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']","2010-12-13T00:00:00",FALSE,0,1000
"Vosol Hc",0.35,"Therapy","[u'Acetic Acid, Glacial; Hydrocortisone']","2010-12-13T00:00:00",FALSE,0,1000
"Acetasol",0.35,"Therapy","[u'Acetic Acid, Glacial']","2010-12-13T00:00:00",FALSE,0,1000
"Acetic Acid",0.35,"Therapy","[u'Acetic Acid, Glacial']","2010-12-13T00:00:00",FALSE,0,1000
"Acetic Acid 0.25% In Plastic Container",0.35,"Therapy","[u'Acetic Acid, Glacial']","2010-12-13T00:00:00",FALSE,0,1000
"Orlex",0.35,"Therapy","[u'Acetic Acid, Glacial']","2010-12-13T00:00:00",FALSE,0,1000
"Vosol",0.35,"Therapy","[u'Acetic Acid, Glacial']","2010-12-13T00:00:00",FALSE,0,1000
"Dymelor",0.35,"Therapy","[u'Acetohexamide']","2010-12-13T00:00:00",FALSE,0,1000
"Lithostat",0.35,"Therapy","[u'Acetohydroxamic Acid']","2010-12-13T00:00:00",FALSE,0,1000
"Tindal",0.35,"Therapy","[u'Acetophenazine Maleate']","2010-12-13T00:00:00",FALSE,0,1000
"Salpix",0.35,"Therapy","[u'Acetrizoate Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Miochol",0.35,"Therapy","[u'Acetylcholine Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Miochol-E",0.35,"Therapy","[u'Acetylcholine Chloride']","2010-12-13T00:00:00",FALSE,0,1000
"Mucomyst W/ Isoproterenol",0.35,"Therapy","[u'Acetylcysteine; Isoproterenol Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Acetadote",0.35,"Therapy","[u'Acetylcysteine']","2010-12-13T00:00:00",FALSE,0,1000
"Mucomyst",0.35,"Therapy","[u'Acetylcysteine']","2010-12-13T00:00:00",FALSE,0,1000
"Mucosil-10",0.35,"Therapy","[u'Acetylcysteine']","2010-12-13T00:00:00",FALSE,0,1000
"Mucosil-20",0.35,"Therapy","[u'Acetylcysteine']","2010-12-13T00:00:00",FALSE,0,1000
"Acylanid",0.35,"Therapy","[u'Acetyldigitoxin']","2010-12-13T00:00:00",FALSE,0,1000
"Soriatane",0.35,"Therapy","[u'Acitretin']","2010-12-13T00:00:00",FALSE,0,1000
"Akrinol",0.35,"Therapy","[u'Acrisorcin']","2010-12-13T00:00:00",FALSE,0,1000
"Semprex-D",0.35,"Therapy","[u'Acrivastine; Pseudoephedrine Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Acyclovir In Sodium Chloride 0.9% Preservative Free",0.35,"Therapy","[u'Acyclovir Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Acyclovir And Hydrocortisone",0.35,"Therapy","[u'Acyclovir; Hydrocortisone']","2010-12-13T00:00:00",FALSE,0,1000
"Zovirax",0.35,"Therapy","[u'Acyclovir']","2010-12-13T00:00:00",FALSE,0,1000
"Humira",0.35,"Therapy","[u'Adalimumab']","2010-12-13T00:00:00",FALSE,0,1000
"Epiduo",0.35,"Therapy","[u'Adapalene; Benzoyl Peroxide']","2010-12-13T00:00:00",FALSE,0,1000
"Differin",0.35,"Therapy","[u'Adapalene']","2010-12-13T00:00:00",FALSE,0,1000
"Hepsera",0.35,"Therapy","[u'Adefovir Dipivoxil']","2010-12-13T00:00:00",FALSE,0,1000
"Adenocard",0.35,"Therapy","[u'Adenosine']","2010-12-13T00:00:00",FALSE,0,1000
"Adenoscan",0.35,"Therapy","[u'Adenosine']","2010-12-13T00:00:00",FALSE,0,1000
"Fabrazyme",0.35,"Therapy","[u'Agalsidase Beta']","2010-12-13T00:00:00",FALSE,0,1000
"Trovan Preservative Free",0.35,"Therapy","[u'Alatrofloxacin Mesylate']","2010-12-13T00:00:00",FALSE,0,1000
"Albenza",0.35,"Therapy","[u'Albendazole']","2010-12-13T00:00:00",FALSE,0,1000
"Chromalbin",0.35,"Therapy","[u'Albumin Chromated Cr-51 Serum']","2010-12-13T00:00:00",FALSE,0,1000
"Optison",0.35,"Therapy","[u'Albumin Human']","2010-12-13T00:00:00",FALSE,0,1000
"Jeanatope",0.35,"Therapy","[u'Albumin Iodinated I-125 Serum']","2010-12-13T00:00:00",FALSE,0,1000
"Radio-Iodinated (I 125) Serum Albumin (Human)",0.35,"Therapy","[u'Albumin Iodinated I-125 Serum']","2010-12-13T00:00:00",FALSE,0,1000
"Radioiodinated Serum Albumin (Human) Ihsa I 125",0.35,"Therapy","[u'Albumin Iodinated I-125 Serum']","2010-12-13T00:00:00",FALSE,0,1000
"Megatope",0.35,"Therapy","[u'Albumin Iodinated I-131 Serum']","2010-12-13T00:00:00",FALSE,0,1000
"Albuterol Sulfate And Ipratropium Bromide",0.35,"Therapy","[u'Albuterol Sulfate; Ipratropium Bromide']","2010-12-13T00:00:00",FALSE,0,1000
"Combivent",0.35,"Therapy","[u'Albuterol Sulfate; Ipratropium Bromide']","2010-12-13T00:00:00",FALSE,0,1000
"Duoneb",0.35,"Therapy","[u'Albuterol Sulfate; Ipratropium Bromide']","2010-12-13T00:00:00",FALSE,0,1000
"Accuneb",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Proair Hfa",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Proventil",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Proventil-Hfa",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Ventolin",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Ventolin Hfa",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Ventolin Rotacaps",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Volmax",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Vospire Er",0.35,"Therapy","[u'Albuterol Sulfate']","2010-12-13T00:00:00",FALSE,0,1000
"Lastacaft",0.35,"Therapy","[u'Alcaftadine']","2010-12-13T00:00:00",FALSE,0,1000
"Aclovate",0.35,"Therapy","[u'Alclometasone Dipropionate']","2010-12-13T00:00:00",FALSE,0,1000
"Avagard",0.35,"Therapy","[u'Alcohol; Chlorhexidine Gluconate']","2010-12-13T00:00:00",FALSE,0,1000
"Alcohol 10% And Dextrose 5%",0.35,"Therapy","[u'Alcohol; Dextrose']","2010-12-13T00:00:00",FALSE,0,1000
"Alcohol 5% And Dextrose 5%",0.35,"Therapy","[u'Alcohol; Dextrose']","2010-12-13T00:00:00",FALSE,0,1000
"Alcohol 5% In D5-W",0.35,"Therapy","[u'Alcohol; Dextrose']","2010-12-13T00:00:00",FALSE,0,1000
"Alcohol 5% In Dextrose 5% In Water",0.35,"Therapy","[u'Alcohol; Dextrose']","2010-12-13T00:00:00",FALSE,0,1000
"Alcohol 5% In Dextrose 5%",0.35,"Therapy","[u'Alcohol']","2010-12-13T00:00:00",FALSE,0,1000
"Proleukin",0.35,"Therapy","[u'Aldesleukin']","2010-12-13T00:00:00",FALSE,0,1000
"Amevive",0.35,"Therapy","[u'Alefacept']","2010-12-13T00:00:00",FALSE,0,1000
"Campath",0.35,"Therapy","[u'Alemtuzumab']","2010-12-13T00:00:00",FALSE,0,1000
"Fosamax Plus D",0.35,"Therapy","[u'Alendronate Sodium; Cholecalciferol']","2010-12-13T00:00:00",FALSE,0,1000
"Fosamax",0.35,"Therapy","[u'Alendronate Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Alfenta",0.35,"Therapy","[u'Alfentanil Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Alfentanil",0.35,"Therapy","[u'Alfentanil Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Uroxatral",0.35,"Therapy","[u'Alfuzosin Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Ceredase",0.35,"Therapy","[u'Alglucerase']","2010-12-13T00:00:00",FALSE,0,1000
"Lumizyme",0.35,"Therapy","[u'Alglucosidase Alfa']","2010-12-13T00:00:00",FALSE,0,1000
"Myozyme",0.35,"Therapy","[u'Alglucosidase Alfa']","2010-12-13T00:00:00",FALSE,0,1000
"Amturnide",0.35,"Therapy","[u'Aliskiren Hemifumarate; Amlodipine Besylate; Hydrochlorothiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Tekamlo",0.35,"Therapy","[u'Aliskiren Hemifumarate; Amlodipine Besylate']","2010-12-13T00:00:00",FALSE,0,1000
"Tekturna Hct",0.35,"Therapy","[u'Aliskiren Hemifumarate; Hydrochlorothiazide']","2010-12-13T00:00:00",FALSE,0,1000
"Valturna",0.35,"Therapy","[u'Aliskiren Hemifumarate; Valsartan']","2010-12-13T00:00:00",FALSE,0,1000
"Tekturna",0.35,"Therapy","[u'Aliskiren Hemifumarate']","2010-12-13T00:00:00",FALSE,0,1000
"Panretin",0.35,"Therapy","[u'Alitretinoin']","2010-12-13T00:00:00",FALSE,0,1000
"Veriloid",0.35,"Therapy","[u'Alkavervir']","2010-12-13T00:00:00",FALSE,0,1000
"Aloprim",0.35,"Therapy","[u'Allopurinol Sodium']","2010-12-13T00:00:00",FALSE,0,1000
"Lopurin",0.35,"Therapy","[u'Allopurinol']","2010-12-13T00:00:00",FALSE,0,1000
"Zyloprim",0.35,"Therapy","[u'Allopurinol']","2010-12-13T00:00:00",FALSE,0,1000
"Axert",0.35,"Therapy","[u'Almotriptan Malate']","2010-12-13T00:00:00",FALSE,0,1000
"Lotronex",0.35,"Therapy","[u'Alosetron Hydrochloride']","2010-12-13T00:00:00",FALSE,0,1000
"Infuvite Adult",0.35,"Therapy","[u'Alpha-Tocopherol Acetate; Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5-Phosphate Sodium; Thiamine Hydrochloride; Vitamin A Palmitate; Vitamin K']","2010-12-13T00:00:00",FALSE,0,1000
"Niravam",0.35,"Therapy","[u'Alprazolam']","2010-12-13T00:00:00",FALSE,0,1000
"Xanax",0.35,"Therapy","[u'Alprazolam']","2010-12-13T00:00:00",FALSE,0,1000
"Xanax Xr",0.35,"Therapy","[u'Alprazolam']","2010-12-13T00:00:00",FALSE,0,1000
"Caverject",0.35,"Therapy","[u'Alprostadil']","2010-12-13T00:00:00",FALSE,0,1000
"Caverject Impulse",0.35,"Therapy","[u'Alprostadil']","2010-12-13T00:00:00",FALSE,0,1000
"Edex",0.35,"Therapy","[u'Alprostadil']","2010-12-13T00:00:00",FALSE,0,1000
"Muse",0.35,"Therapy","[u'Alprostadil']","2010-12-13T00:00:00",FALSE,0,1000
"Prostin Vr Pediatric",0.35,"Therapy","[u'Alprostadil']","2010-12-13T00:00:00",FALSE,0,1000
"Rautensin",0.35,"Therapy","[u'Alseroxylon']","2010-12-13T00:00:00",FALSE,0,1000
