"category","thresholdSensitivity","categoryType","feedExpirationDate","feedIsStale","numberOfFollowers","previousInterestRank"
"Aseptic Necrosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Asthma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Atopic Dermatitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Atrial Fibrillation",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Attention Deficit Hyperactivity Disorder (ADHD)",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Autism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bacterial Vaginosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Baker Cyst",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Barrett's Esophagus",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Behcet's Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Benign Prostatic Hyperplasia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bernard-Soulier Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Beta Thalassemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Biological Therapy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bipolar Disorder",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bladder Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Boils",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bone Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Botulism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Brain Aneurysm",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Brain Tumor",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Branchial Cyst",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Breast Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bruises",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bulimia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bullous Pemphigoid",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bunions",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Bursitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Canavan Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Canker Sores",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cataracts",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cauliflower Ear",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Celiac Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cerebral Palsy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cervical Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Chalazion",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Chronic Fatigue Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"COPD",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Chronic Pain",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Chronic Rhinitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Churg-Strauss Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cirrhosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Claudication",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cleidocranial Dysplasia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Clostridium Difficile Colitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Coccydynia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Colon Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Colon Cancer Screening",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Colon Polyps",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Congestive Heart Failure",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Connective Tissue Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Corns",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Costochondritis and Tietze Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Coxsackie Virus",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Creutzfeldt-Jakob Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Crohn's Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cushing's Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cuts, Scrapes and Puncture Wounds",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cystic Fibrosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Cystinuria",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"De Quervain's Tenosynovitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Deafness",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Deep Vein Thrombosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Degenerative Disc",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Dementia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Diabetes",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Diabetes Insipidus",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Diffuse Idiopathic Skeletal Hyperostosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Diverticulosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Down Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Dupuytren Contracture",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Dyslexia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Dyspepsia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Dystonia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Edema",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Ehlers-Danlos Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Encephalitis and Meningitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Endocarditis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Endometriosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Enteroinvasive E. Coli",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Eosinophilic Fasciitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Epilepsy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Erythema Nodosum",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Esophageal Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Essential Mixed Cryoglobulinemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Eustachian Tube Problems",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Exercise and Activity",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Fabry's Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Fainting",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Fatty Liver",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Felty's Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Fibrocystic Breast Condition",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Fibromyalgia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gallstones",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Ganglion",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gardner Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gastroenteritis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gastroesophageal Reflux Disease (GERD)",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gastroparesis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gaucher Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Genetic Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Herpes",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"German Measles",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Giardia Lamblia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gilbert Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Glaucoma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gonorrhea",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gout",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Group B Strep",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Guillain-Barre Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Gum Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hair Loss",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hamstring Injury",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hand-Foot-And-Mouth Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hay Fever",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Head Lice",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Headache",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Heart Attack",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Heart Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Heat Cramps",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Heat Exhaustion",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Heat Stroke",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Heel Spurs",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Helicobacter Pylori",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hemolytic Uremic Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hemorrhoids",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Henoch-Schonlein Purpura",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hepatic Hemangioma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hepatitis B",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hepatitis C",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hepatitis Immunizations",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hernia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Herpes",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hiatal Hernia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hip Bursitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hirschsprung Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hives",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hoarseness",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hodgkins Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"HIV/AIDS",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Huntington Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hydrocephalus",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hydronephrosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hydroxyapatite",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hyperkalemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hypermobility Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hyperparathyroidism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hypersensitivity Pneumonitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hyperthermia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hyperthyroidism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hypoglycemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hypoparathyroidism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hypothyroidism",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"ICU Psychosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Impetigo",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Infectious Mononucleosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Inflammatory Bowel Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Influenza",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Insect Sting Allergies",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Insulin Resistance",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Interstitial Cystitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Interstitial Pneumonia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Intestinal Gas",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Intussusception",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Iron Overload",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Irritable Bowel Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Jaundice",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Juvenile Arthritis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Kawasaki Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Keloid",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Kidney Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Kidney Failure",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Kidney Stone",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Klinefelter Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Klippel-Trenaunay-Weber Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Knee Bursitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Knee Pain",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Larynx Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Latex Allergy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Legionnaire Disease and Pontiac Fever",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Leptospirosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Leukemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Lichen Planus",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Liver Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Low Back Pain",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Low Blood Pressure",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Lung Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Lungs Design And Purpose",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Lyme Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Lymphocytic Colitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Macular Degeneration",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Malaria",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Marfan Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Measles (Rubeola)",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Melanoma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Melanosis Coli",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"MELAS Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Melioidosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Meniere Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Meningococcemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Menopause",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Menstrual Cramps",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Meralgia Paresthetica",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Mesothelioma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Microcephaly",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Microsporidiosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Migraine Headache",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Miscarriage",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Mitral Valve Prolapse",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Mixed Connective Tissue Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Monkeypox",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Morton's Neuroma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Multiple Myeloma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Multiple Sclerosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Mumps",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Muscle Cramps",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Myasthenia Gravis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Mycobacterium Marinum",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Myocarditis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Narcolepsy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Nasal Allergy Medications",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Neck Pain",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Neutropenia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Hearing Loss",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Non-Hodgkins Lymphomas",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Nonsteroidal Anti-inflammatory Drugs and Ulcers",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Noonan Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Norovirus Infection",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Obesity",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Oral Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Osgood-Schlatter Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Osteoarthritis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Osteochondritis Dissecans",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Osteodystrophy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Osteoporosis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Otitis Externa",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Otitis Media",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Ovarian Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Ovarian Cysts",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Overactive Bladder",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Paget's Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Palpitations",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pancreas Divisum",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pancreatic Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pancreatitis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Panic Disorder",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Parkinson's Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Paroxysmal Atrial Tachycardia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Patellofemoral Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pendred Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Penis Cancer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Peptic Ulcer",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pericarditis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Peripheral Neuropathy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Peripheral Vascular Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pernicious Anemia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pertussis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Phenylketonuria",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pheochromocytoma",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pick Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pink Eye",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pinworm Infection",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pleurisy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pneumococcal Vaccination",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pneumonia",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Pneumothorax",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Poison Control Centers",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Poison Ivy",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Poland Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Polyarteritis Nodosa",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Polycystic Kidney Disease",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Polycystic Ovary",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Polymyalgia Rheumatica",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Polymyositis",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Post-Polio Syndrome",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
"Posttraumatic Stress Disorder",0.35,"Condition","2010-12-13T00:00:00",FALSE,0,1000
