"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale"
"Adrucil",,"Therapy","[u'Fluorouracil']",,
"Advair Diskus 100/50",,"Therapy","[u'Fluticasone Propionate; Salmeterol Xinafoate']",,
"Advair Diskus 250/50",,"Therapy","[u'Fluticasone Propionate; Salmeterol Xinafoate']",,
"Advair Diskus 500/50",,"Therapy","[u'Fluticasone Propionate; Salmeterol Xinafoate']",,
"Advair Hfa",,"Therapy","[u'Fluticasone Propionate; Salmeterol Xinafoate']",,
"Advicor",,"Therapy","[u'Lovastatin; Niacin']",,
"Advil",,"Therapy","[u'Ibuprofen']",,
"Advil Allergy Sinus",,"Therapy","[u'Chlorpheniramine Maleate; Ibuprofen; Pseudoephedrine Hydrochloride']",,
"Advil Cold And Sinus",,"Therapy","[u'Ibuprofen; Pseudoephedrine Hydrochloride']",,
"Advil Congestion Relief",,"Therapy","[u'Ibuprofen; Phenylephrine Hydrochloride']",,
"Advil Liqui-Gels",,"Therapy","[u'Ibuprofen']",,
"Advil Migraine Liqui-Gels",,"Therapy","[u'Ibuprofen']",,
"Advil Pm",,"Therapy","[u'Diphenhydramine Citrate; Ibuprofen']",,
"Aerobid",,"Therapy","[u'Flunisolide']",,
"Aerolate",,"Therapy","[u'Theophylline']",,
"Aerolate Iii",,"Therapy","[u'Theophylline']",,
"Aerolate Jr",,"Therapy","[u'Theophylline']",,
"Aerolate Sr",,"Therapy","[u'Theophylline']",,
"Aerolone",,"Therapy","[u'Isoproterenol Hydrochloride']",,
"Aeroseb-Dex",,"Therapy","[u'Dexamethasone']",,
"Aeroseb-Hc",,"Therapy","[u'Hydrocortisone']",,
"Aerospan Hfa",,"Therapy","[u'Flunisolide']",,
"Aerosporin",,"Therapy","[u'Polymyxin B Sulfate']",,
"Afaxin",,"Therapy","[u'Vitamin A Palmitate']",,
"Afeditab Cr",,"Therapy","[u'Nifedipine']",,
"Afinitor",,"Therapy","[u'Everolimus']",,
"Afrinol",,"Therapy","[u'Pseudoephedrine Sulfate']",,
"Agenerase",,"Therapy","[u'Amprenavir']",,
"Aggrastat",,"Therapy","[u'Tirofiban Hydrochloride']",,
"Aggrenox",,"Therapy","[u'Aspirin; Dipyridamole']",,
"Agrylin",,"Therapy","[u'Anagrelide Hydrochloride']",,
"Ak-Fluor 10%",,"Therapy","[u'Fluorescein Sodium']",,
"Ak-Fluor 25%",,"Therapy","[u'Fluorescein Sodium']",,
"Ak-Pentolate",,"Therapy","[u'Cyclopentolate Hydrochloride']",,
"Akbeta",,"Therapy","[u'Levobunolol Hydrochloride']",,
"Akineton",,"Therapy","[u'Biperiden Lactate']",,
"Akne-Mycin",,"Therapy","[u'Erythromycin']",,
"Akpentolate",,"Therapy","[u'Cyclopentolate Hydrochloride']",,
"Akpro",,"Therapy","[u'Dipivefrin Hydrochloride']",,
"Akrinol",,"Therapy","[u'Acrisorcin']",,
"Akten",,"Therapy","[u'Lidocaine Hydrochloride']",,
"Aktob",,"Therapy","[u'Tobramycin']",,
"Ala-Cort",,"Therapy","[u'Hydrocortisone']",,
"Ala-Scalp",,"Therapy","[u'Hydrocortisone']",,
"Alamast",,"Therapy","[u'Pemirolast Potassium']",,
"Alavert",,"Therapy","[u'Loratadine']",,
"Alaway",,"Therapy","[u'Ketotifen Fumarate']",,
"Albalon",,"Therapy","[u'Naphazoline Hydrochloride']",,
"Albamycin",,"Therapy","[u'Novobiocin Sodium']",,
"Albenza",,"Therapy","[u'Albendazole']",,
"Albuterol",,"Therapy",,,
"Albuterol Sulfate",,"Therapy",,,
"Albuterol Sulfate And Ipratropium Bromide",,"Therapy","[u'Albuterol Sulfate; Ipratropium Bromide']",,
"Albuterol Sulfate; Ipratropium Bromide",,"Therapy",,,
"Alcaine",,"Therapy","[u'Proparacaine Hydrochloride']",,
"Alclometasone Dipropionate",,"Therapy",,,
"Alcohol 10% And Dextrose 5%",,"Therapy","[u'Alcohol; Dextrose']",,
"Alcohol 5% And Dextrose 5%",,"Therapy","[u'Alcohol; Dextrose']",,
"Alcohol 5% In D5-W",,"Therapy","[u'Alcohol; Dextrose']",,
"Alcohol 5% In Dextrose 5%",,"Therapy","[u'Alcohol']",,
"Alcohol 5% In Dextrose 5% In Water",,"Therapy","[u'Alcohol; Dextrose']",,
"Aldactazide",,"Therapy","[u'Hydrochlorothiazide; Spironolactone']",,
"Aldactone",,"Therapy","[u'Spironolactone']",,
"Aldara",,"Therapy","[u'Imiquimod']",,
"Aldoclor-150",,"Therapy","[u'Chlorothiazide; Methyldopa']",,
"Aldoclor-250",,"Therapy","[u'Chlorothiazide; Methyldopa']",,
"Aldomet",,"Therapy","[u'Methyldopa']",,
"Aldoril 15",,"Therapy","[u'Hydrochlorothiazide; Methyldopa']",,
"Aldoril 25",,"Therapy","[u'Hydrochlorothiazide; Methyldopa']",,
"Aldoril D30",,"Therapy","[u'Hydrochlorothiazide; Methyldopa']",,
"Aldoril D50",,"Therapy","[u'Hydrochlorothiazide; Methyldopa']",,
"Aldurazyme",,"Therapy","[u'Laronidase']",,
"Alendronate Sodium",,"Therapy",,,
"Alesse",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
"Aleve",,"Therapy","[u'Naproxen Sodium']",,
"Aleve-D Sinus & Cold",,"Therapy","[u'Naproxen Sodium; Pseudoephedrine Hydrochloride']",,
"Alfenta",,"Therapy","[u'Alfentanil Hydrochloride']",,
"Alfentanil",,"Therapy","[u'Alfentanil Hydrochloride']",,
"Alferon N Injection",,"Therapy","[u'Interferon Alfa-N3']",,
"Alfuzosin Hydrochloride",,"Therapy",,,
"Alimta",,"Therapy","[u'Pemetrexed']",,
"Alinia",,"Therapy","[u'Nitazoxanide']",,
"Alkeran",,"Therapy","[u'Melphalan Hydrochloride']",,
"Alkergot",,"Therapy","[u'Ergoloid Mesylates']",,
"Allay",,"Therapy","[u'Acetaminophen; Hydrocodone Bitartrate']",,
"Allegra",,"Therapy","[u'Fexofenadine Hydrochloride']",,
"Allegra Allergy; Allegra Hives",,"Therapy","[u'Fexofenadine Hydrochloride']",,
"Allegra D 24 Hour",,"Therapy","[u'Fexofenadine Hydrochloride; Pseudoephedrine Hydrochloride']",,
"Allegra-D 12 Hour",,"Therapy","[u'Fexofenadine Hydrochloride; Pseudoephedrine Hydrochloride']",,
"Allerfed",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Allernaze",,"Therapy","[u'Triamcinolone Acetonide']",,
"Alli",,"Therapy","[u'Orlistat']",,
"Allopurinol",,"Therapy",,,
"Allopurinol Sodium",,"Therapy",,,
"Almotriptan Malate",,"Therapy",,,
"Alocril",,"Therapy","[u'Nedocromil Sodium']",,
"Alomide",,"Therapy","[u'Lodoxamide Tromethamine']",,
"Aloprim",,"Therapy","[u'Allopurinol Sodium']",,
"Alora",,"Therapy","[u'Estradiol']",,
"Aloxi",,"Therapy","[u'Palonosetron Hydrochloride']",,
"Alpha Chymar",,"Therapy","[u'Chymotrypsin']",,
"Alphacaine",,"Therapy","[u'Lidocaine']",,
"Alphacaine Hydrochloride",,"Therapy","[u'Lidocaine Hydrochloride']",,
"Alphacaine Hydrochloride W/ Epinephrine",,"Therapy","[u'Epinephrine; Lidocaine Hydrochloride']",,
"Alphaderm",,"Therapy","[u'Hydrocortisone; Urea']",,
"Alphadrol",,"Therapy","[u'Fluprednisolone']",,
"Alphagan",,"Therapy","[u'Brimonidine Tartrate']",,
"Alphagan P",,"Therapy","[u'Brimonidine Tartrate']",,
"Alphalin",,"Therapy","[u'Vitamin A Palmitate']",,
"Alpharedisol",,"Therapy","[u'Hydroxocobalamin']",,
"Alphatrex",,"Therapy","[u'Betamethasone Dipropionate']",,
"Alphazine",,"Therapy","[u'Phendimetrazine Tartrate']",,
"Alprazolam",,"Therapy",,,
"Alprostadil",,"Therapy",,,
"Alrex",,"Therapy","[u'Loteprednol Etabonate']",,
"Alsuma",,"Therapy","[u'Sumatriptan Succinate']",,
"Altabax",,"Therapy","[u'Retapamulin']",,
"Altace",,"Therapy","[u'Ramipril']",,
"Altavera",,"Therapy","[u'Ethinyl Estradiol; Levonorgestrel']",,
"Altoprev",,"Therapy","[u'Lovastatin']",,
"Aluminum Hydroxide And Magnesium Trisilicate",,"Therapy","[u'Aluminum Hydroxide; Magnesium Trisilicate']",,
"Alupent",,"Therapy","[u'Metaproterenol Sulfate']",,
"Alvesco",,"Therapy","[u'Ciclesonide']",,
"Amantadine Hydrochloride",,"Therapy",,,
"Amaryl",,"Therapy","[u'Glimepiride']",,
"Ambenyl",,"Therapy","[u'Bromodiphenhydramine Hydrochloride; Codeine Phosphate']",,
"Ambien",,"Therapy","[u'Zolpidem Tartrate']",,
"Ambien Cr",,"Therapy","[u'Zolpidem Tartrate']",,
"Ambisome",,"Therapy","[u'Amphotericin B']",,
"Ambodryl",,"Therapy","[u'Bromodiphenhydramine Hydrochloride']",,
"Amcill",,"Therapy","[u'Ampicillin/Ampicillin Trihydrate']",,
"Amcinonide",,"Therapy",,,
"Amen",,"Therapy","[u'Medroxyprogesterone Acetate']",,
"Amerge",,"Therapy","[u'Naratriptan Hydrochloride']",,
"Amerscan Mdp Kit",,"Therapy","[u'Technetium Tc-99M Medronate Kit']",,
"Amevive",,"Therapy","[u'Alefacept']",,
"Amicar",,"Therapy","[u'Aminocaproic Acid']",,
"Amidate",,"Therapy","[u'Etomidate']",,
"Amifostine",,"Therapy",,,
"Amikacin Sulfate",,"Therapy",,,
"Amikacin Sulfate In Sodium Chloride 0.9% In Plastic Container",,"Therapy","[u'Amikacin Sulfate']",,
"Amikin",,"Therapy","[u'Amikacin Sulfate']",,
"Amikin In Sodium Chloride 0.9% In Plastic Container",,"Therapy","[u'Amikacin Sulfate']",,
"Amiloride Hydrochloride",,"Therapy",,,
"Amiloride Hydrochloride And Hydrochlorothiazide",,"Therapy","[u'Amiloride Hydrochloride; Hydrochlorothiazide']",,
"Aminess 5.2% Essential Amino Acids W/ Histadine",,"Therapy","[u'Amino Acids']",,
"Aminoacetic Acid 1.5% In Plastic Container",,"Therapy","[u'Glycine']",,
"Aminocaproic",,"Therapy","[u'Aminocaproic Acid']",,
"Aminocaproic Acid",,"Therapy",,,
"Aminocaproic Acid In Plastic Container",,"Therapy","[u'Aminocaproic Acid']",,
"Aminohippurate Sodium",,"Therapy",,,
"Aminophyllin",,"Therapy","[u'Aminophylline']",,
"Aminophylline",,"Therapy",,,
"Aminophylline Dye Free",,"Therapy","[u'Aminophylline']",,
"Aminophylline In Sodium Chloride 0.45%",,"Therapy","[u'Aminophylline']",,
"Aminophylline In Sodium Chloride 0.45% In Plastic Container",,"Therapy","[u'Aminophylline']",,
"Aminosol 5%",,"Therapy","[u'Protein Hydrolysate']",,
"Aminosyn 10%",,"Therapy","[u'Amino Acids']",,
"Aminosyn 10% (Ph6)",,"Therapy","[u'Amino Acids']",,
"Aminosyn 3.5%",,"Therapy","[u'Amino Acids']",,
"Aminosyn 3.5% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Aminosyn 3.5% M",,"Therapy","[u'Amino Acids; Magnesium Acetate; Potassium Acetate; Sodium Chloride']",,
"Aminosyn 3.5% M In Plastic Container",,"Therapy","[u'Amino Acids; Magnesium Acetate; Phosphoric Acid; Potassium Acetate; Sodium Chloride']",,
"Aminosyn 3.5% W/ Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn 3.5% W/ Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn 4.25% W/ Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn 5%",,"Therapy","[u'Amino Acids']",,
"Aminosyn 7%",,"Therapy","[u'Amino Acids']",,
"Aminosyn 7% (Ph6)",,"Therapy","[u'Amino Acids']",,
"Aminosyn 7% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn 8.5%",,"Therapy","[u'Amino Acids']",,
"Aminosyn 8.5% (Ph6)",,"Therapy","[u'Amino Acids']",,
"Aminosyn 8.5% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 10%",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 10% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 10% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 15% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 3.5%",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 3.5% In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn Ii 3.5% In Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn Ii 3.5% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 3.5% M",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Chloride; Sodium Chloride; Sodium Phosphate, Dibasic, Heptahydrate']",,
"Aminosyn Ii 3.5% M In Dextrose 5% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Chloride; Sodium Chloride; Sodium Phosphate, Dibasic, Heptahydrate']",,
"Aminosyn Ii 3.5% M In Plastic Container",,"Therapy","[u'Amino Acids; Magnesium Acetate; Potassium Acetate; Sodium Chloride; Sodium Phosphate, Dibasic, Heptahydrate']",,
"Aminosyn Ii 3.5% W/ Electrolytes In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 3.5% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container",,"Therapy","[u'Amino Acids; Calcium Chloride; Dextrose; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 4.25% In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn Ii 4.25% In Dextrose 20% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn Ii 4.25% In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn Ii 4.25% M In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Chloride; Sodium Chloride; Sodium Phosphate, Dibasic, Heptahydrate']",,
"Aminosyn Ii 4.25% W/ Elect And Adjusted Phosphate In Dextrose 10% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Acetate; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 20% W/ Calcium In Plastic Container",,"Therapy","[u'Amino Acids; Calcium Chloride; Dextrose; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 4.25% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container",,"Therapy","[u'Amino Acids; Calcium Chloride; Dextrose; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 5%",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 5% In Dextrose 25% In Plastic Container",,"Therapy","[u'Amino Acids; Dextrose']",,
"Aminosyn Ii 5% W/ Electrolytes In Dextrose 25% W/ Calcium In Plastic Container",,"Therapy","[u'Amino Acids; Calcium Chloride; Dextrose; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 7%",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 7% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn Ii 8.5%",,"Therapy","[u'Amino Acids']",,
"Aminosyn Ii 8.5% W/ Electrolytes",,"Therapy","[u'Amino Acids; Magnesium Chloride; Potassium Chloride; Potassium Phosphate, Dibasic; Sodium Chloride']",,
"Aminosyn-Hbc 7%",,"Therapy","[u'Amino Acids']",,
"Aminosyn-Hbc 7% In Plastic Container",,"Therapy","[u'Amino Acids']",,
"Aminosyn-Hf 8%",,"Therapy","[u'Amino Acids']",,
"Aminosyn-Pf 10%",,"Therapy","[u'Amino Acids']",,
"Aminosyn-Pf 7%",,"Therapy","[u'Amino Acids']",,
"Aminosyn-Rf 5.2%",,"Therapy","[u'Amino Acids']",,
"Amiodarone Hydrochloride",,"Therapy",,,
"Amipaque",,"Therapy","[u'Metrizamide']",,
"Amitid",,"Therapy","[u'Amitriptyline Hydrochloride']",,
"Amitiza",,"Therapy","[u'Lubiprostone']",,
"Amitril",,"Therapy","[u'Amitriptyline Hydrochloride']",,
"Amitriptyline Hydrochloride",,"Therapy",,,
"Amlexanox",,"Therapy",,,
"Amlodipine Besylate",,"Therapy",,,
"Amlodipine Besylate And Benazepril Hydrochloride",,"Therapy",,,
"Amlodipine Besylate; Benazepril Hydrochloride",,"Therapy",,,
"Amlodipine Maleate; Benazepril Hydrochloride",,"Therapy",,,
"Amlodipine; Valsartan",,"Therapy",,,
"Ammonia N 13",,"Therapy","[u'Ammonia, N-13']",,
"Ammonium Chloride",,"Therapy",,,
"Ammonium Chloride 0.9% In Normal Saline",,"Therapy","[u'Ammonium Chloride']",,
"Ammonium Chloride 2.14%",,"Therapy","[u'Ammonium Chloride']",,
"Ammonium Chloride In Plastic Container",,"Therapy","[u'Ammonium Chloride']",,
"Ammonium Lactate",,"Therapy",,,
"Ammonul",,"Therapy","[u'Sodium Benzoate; Sodium Phenylacetate']",,
"Amnesteem",,"Therapy","[u'Isotretinoin']",,
"Amnestrogen",,"Therapy","[u'Estrogens, Esterified']",,
"Amosene",,"Therapy","[u'Meprobamate']",,
"Amoxapine",,"Therapy",,,
"Amoxicillin",,"Therapy",,,
