"applicationNumber","productNumber","form","dosage","productMarketStatus","tecCode","isReferenceDrug","treatmentTypeName","activeIngredients","interestCategories","isDrug"
552,13,"Injectable; Injection","10,000 UNITS/ML","Discontinued",,0,"Liquaemin Sodium Preservative Free","Heparin Sodium","Liquaemin Sodium Preservative Free",TRUE
734,1,"Injectable; Injection","EQ 1MG BASE/ML","Discontinued",,0,"Histamine Phosphate","Histamine Phosphate","Liquaemin Sodium Preservative Free",TRUE
734,2,"Injectable; Injection","EQ 0.2MG BASE/ML","Discontinued",,0,"Histamine Phosphate","Histamine Phosphate","Histamine Phosphate",TRUE
734,3,"Injectable; Injection","EQ 0.1MG BASE/ML","Discontinued",,0,"Histamine Phosphate","Histamine Phosphate","Histamine Phosphate",TRUE
793,2,"Tablet; Oral","15MG","Discontinued",,0,"Butisol Sodium","Butabarbital Sodium","Histamine Phosphate",TRUE
793,3,"Tablet; Oral","50MG","Prescription",,1,"Butisol Sodium","Butabarbital Sodium","Butisol Sodium",TRUE
793,4,"Tablet; Oral","30MG","Prescription",,1,"Butisol Sodium","Butabarbital Sodium","Butisol Sodium",TRUE
793,5,"Tablet; Oral","100MG","Discontinued",,0,"Butisol Sodium","Butabarbital Sodium","Butisol Sodium",TRUE
1104,1,"Injectable; Injection","5MG/ML","Discontinued",,0,"Doca","Desoxycorticosterone Acetate","Butisol Sodium",TRUE
1546,1,"Tablet; Oral","125MG","Prescription",,0,"Guanidine Hydrochloride","Guanidine Hydrochloride","Doca",TRUE
2139,3,"Tablet; Oral","5MG","Discontinued",,0,"Menadione","Menadione","Guanidine Hydrochloride",TRUE
2245,2,"Tablet; Oral","65MG","Discontinued",,0,"Proloid","Thyroglobulin","Menadione",TRUE
2245,4,"Tablet; Oral","325MG","Discontinued",,0,"Proloid","Thyroglobulin","Proloid",TRUE
2245,5,"Tablet; Oral","32MG","Discontinued",,0,"Proloid","Thyroglobulin","Proloid",TRUE
2245,7,"Tablet; Oral","200MG","Discontinued",,0,"Proloid","Thyroglobulin","Proloid",TRUE
2245,8,"Tablet; Oral","100MG","Discontinued",,0,"Proloid","Thyroglobulin","Proloid",TRUE
2245,9,"Tablet; Oral","16MG","Discontinued",,0,"Proloid","Thyroglobulin","Proloid",TRUE
2245,10,"Tablet; Oral","130MG","Discontinued",,0,"Proloid","Thyroglobulin","Proloid",TRUE
2282,1,"Injectable; Injection","100MG/ML","Discontinued",,0,"Inulin And Sodium Chloride","Inulin","Proloid",TRUE
2386,2,"Tablet; Oral","100MG","Discontinued",,0,"Aminophyllin","Aminophylline","Inulin And Sodium Chloride",TRUE
2386,3,"Tablet; Oral","200MG","Discontinued",,0,"Aminophyllin","Aminophylline","Aminophyllin",TRUE
2918,1,"Powder; Topical",33.32%,"Discontinued",,0,"Bensulfoid","Sulfur","Aminophyllin",TRUE
3158,1,"Tablet; Oral","10MG","Discontinued",,0,"Oreton Methyl","Methyltestosterone","Bensulfoid",TRUE
3158,2,"Tablet; Oral","25MG","Discontinued",,0,"Oreton Methyl","Methyltestosterone","Oreton Methyl",TRUE
3240,1,"Tablet; Oral","10MG","Discontinued",,0,"Metandren","Methyltestosterone","Oreton Methyl",TRUE
3240,3,"Tablet; Oral","25MG","Discontinued",,0,"Metandren","Methyltestosterone","Metandren",TRUE
3240,4,"Tablet; Buccal/Sublingual","5MG","Discontinued",,0,"Metandren","Methyltestosterone","Metandren",TRUE
3240,5,"Tablet; Buccal/Sublingual","10MG","Discontinued",,0,"Metandren","Methyltestosterone","Metandren",TRUE
3402,1,"Injectable; Injection","5PRESSOR UNITS/ML","Discontinued",,0,"Pitressin Tannate","Vasopressin Tannate","Metandren",TRUE
3444,1,"Capsule; Oral","50,000 IU","Prescription","AA",1,"Drisdol","Ergocalciferol","Pitressin Tannate",TRUE
3718,4,"Injectable; Injection","5MG/ML","Discontinued",,0,"Synkayvite","Menadiol Sodium Diphosphate","Drisdol",TRUE
3718,6,"Injectable; Injection","10MG/ML","Discontinued",,0,"Synkayvite","Menadiol Sodium Diphosphate","Synkayvite",TRUE
3718,8,"Injectable; Injection","37.5MG/ML","Discontinued",,0,"Synkayvite","Menadiol Sodium Diphosphate","Synkayvite",TRUE
3718,10,"Tablet; Oral","5MG","Discontinued",,0,"Synkayvite","Menadiol Sodium Diphosphate","Synkayvite",TRUE
3977,1,"Injectable; Injection","1MG/ML","Discontinued",,0,"Theelin","Estrone","Synkayvite",TRUE
3977,2,"Injectable; Injection","2MG/ML","Discontinued",,0,"Theelin","Estrone","Theelin",TRUE
3977,3,"Injectable; Injection","5MG/ML","Discontinued",,0,"Theelin","Estrone","Theelin",TRUE
4039,2,"Tablet, Delayed Release; Oral","0.1MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Theelin",TRUE
4039,3,"Tablet, Delayed Release; Oral","0.5MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4039,4,"Tablet, Delayed Release; Oral","1MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4039,5,"Tablet, Delayed Release; Oral","0.25MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4039,6,"Tablet, Delayed Release; Oral","5MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4040,1,"Suppository; Vaginal","0.1MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4040,2,"Suppository; Vaginal","0.5MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4041,2,"Tablet; Oral","0.1MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4041,3,"Tablet; Oral","0.5MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4041,4,"Tablet; Oral","1MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4041,5,"Tablet; Oral","5MG","Discontinued",,0,"Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol",TRUE
4054,1,"Tablet; Oral","500MG","Discontinued",,0,"Sulfadiazine","Sulfadiazine","Diethylstilbestrol",TRUE
4054,2,"Injectable; Injection","250MG/ML","Discontinued",,0,"Sulfadiazine Sodium","Sulfadiazine Sodium","Sulfadiazine",TRUE
4056,1,"Suppository; Vaginal","0.1MG","Discontinued",,0,"Stilbestrol","Diethylstilbestrol","Sulfadiazine Sodium",TRUE
4056,2,"Suppository; Vaginal","0.5MG","Discontinued",,0,"Stilbestrol","Diethylstilbestrol","Stilbestrol",TRUE
4056,3,"Injectable; Injection","0.2MG/ML","Discontinued",,0,"Stilbestrol","Diethylstilbestrol","Stilbestrol",TRUE
4056,4,"Injectable; Injection","0.5MG/ML","Discontinued",,0,"Stilbestrol","Diethylstilbestrol","Stilbestrol",TRUE
4056,5,"Injectable; Injection","1MG/ML","Discontinued",,0,"Stilbestrol","Diethylstilbestrol","Stilbestrol",TRUE
4056,6,"Injectable; Injection","5MG/ML","Discontinued",,0,"Stilbestrol","Diethylstilbestrol","Stilbestrol",TRUE
4056,7,"Tablet; Oral","0.1MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbestrol",TRUE
4056,8,"Tablet; Oral","0.5MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,9,"Tablet; Oral","1MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,10,"Tablet; Oral","5MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,11,"Tablet, Delayed Release; Oral","0.1MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,12,"Tablet, Delayed Release; Oral","0.5MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,13,"Tablet, Delayed Release; Oral","1MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,14,"Tablet, Delayed Release; Oral","5MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4056,17,"Tablet; Oral","0.25MG","Discontinued",,0,"Stilbetin","Diethylstilbestrol","Stilbetin",TRUE
4122,2,"Tablet; Oral","500MG","Discontinued",,0,"Sulfadiazine","Sulfadiazine","Stilbetin",TRUE
4125,5,"Tablet; Oral","300MG","Discontinued",,0,"Sulfadiazine","Sulfadiazine","Sulfadiazine",TRUE
4570,1,"Injectable; Injection","1,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Sulfadiazine",TRUE
4570,2,"Injectable; Injection","5,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Heparin Sodium",TRUE
4570,3,"Injectable; Injection","10,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Heparin Sodium",TRUE
4589,4,"Injectable; Injection","5ML/100ML;5GM/100ML","Prescription","AP",1,"Alcohol 5% And Dextrose 5%","Alcohol; Dextrose","Heparin Sodium",TRUE
4589,6,"Injectable; Injection","10ML/100ML;5GM/100ML","Prescription",,1,"Alcohol 10% And Dextrose 5%","Alcohol; Dextrose","Alcohol 5% And Dextrose 5%",TRUE
4782,1,"Tablet; Oral","1.25MG","Prescription",,1,"Premarin","Estrogens, Conjugated","Alcohol 10% And Dextrose 5%",TRUE
4782,2,"Tablet; Oral","2.5MG","Discontinued",,0,"Premarin","Estrogens, Conjugated","Premarin",TRUE
4782,3,"Tablet; Oral","0.3MG","Prescription",,0,"Premarin","Estrogens, Conjugated","Premarin",TRUE
4782,4,"Tablet; Oral","0.625MG","Prescription",,1,"Premarin","Estrogens, Conjugated","Premarin",TRUE
4782,5,"Tablet; Oral","0.9MG","Prescription",,1,"Premarin","Estrogens, Conjugated","Premarin",TRUE
4782,6,"Tablet; Oral","0.45MG","Prescription",,0,"Premarin","Estrogens, Conjugated","Premarin",TRUE
5010,1,"Tablet; Oral","50MG","Prescription","AA",1,"Demerol","Meperidine Hydrochloride","Premarin",TRUE
5010,2,"Injectable; Injection","50MG/ML","Discontinued",,0,"Demerol","Meperidine Hydrochloride","Demerol",TRUE
5010,3,"Injectable; Injection","100MG/ML","Discontinued",,0,"Demerol","Meperidine Hydrochloride","Demerol",TRUE
5010,4,"Tablet; Oral","100MG","Prescription","AA",1,"Demerol","Meperidine Hydrochloride","Demerol",TRUE
5010,5,"Syrup; Oral","50MG/5ML","Discontinued",,0,"Demerol","Meperidine Hydrochloride","Demerol",TRUE
5010,7,"Injectable; Injection","25MG/ML","Discontinued",,0,"Demerol","Meperidine Hydrochloride","Demerol",TRUE
5010,9,"Injectable; Injection","75MG/ML","Discontinued",,0,"Demerol","Meperidine Hydrochloride","Demerol",TRUE
5151,1,"Pellet; Implantation","125MG","Discontinued",,0,"Percorten","Desoxycorticosterone Acetate","Demerol",TRUE
5213,1,"Tablet; Oral","1.5MG;5MG","Discontinued",,0,"Hycodan","Homatropine Methylbromide; Hydrocodone Bitartrate","Percorten",TRUE
5213,2,"Syrup; Oral","1.5MG/5ML;5MG/5ML","Discontinued",,0,"Hycodan","Homatropine Methylbromide; Hydrocodone Bitartrate","Hycodan",TRUE
5264,4,"Injectable; Injection","1,000 UNITS/ML","Discontinued",,0,"Panheprin","Heparin Sodium","Hycodan",TRUE
5264,6,"Injectable; Injection","5,000 UNITS/ML","Discontinued",,0,"Panheprin","Heparin Sodium","Panheprin",TRUE
5264,7,"Injectable; Injection","10,000 UNITS/ML","Discontinued",,0,"Panheprin","Heparin Sodium","Panheprin",TRUE
5264,8,"Injectable; Injection","20,000 UNITS/ML","Discontinued",,0,"Panheprin","Heparin Sodium","Panheprin",TRUE
5264,9,"Injectable; Injection","40,000 UNITS/ML","Discontinued",,0,"Panheprin","Heparin Sodium","Panheprin",TRUE
5264,10,"Injectable; Injection","100 UNITS/ML","Discontinued",,0,"Heparin Lock Flush","Heparin Sodium","Panheprin",TRUE
5264,13,"Injectable; Injection","2,000 UNITS/ML","Discontinued",,0,"Heparin Sodium Preservative Free","Heparin Sodium","Heparin Lock Flush",TRUE
5264,14,"Injectable; Injection","2,500 UNITS/ML","Discontinued",,0,"Heparin Sodium Preservative Free","Heparin Sodium","Heparin Sodium Preservative Free",TRUE
5264,16,"Injectable; Injection","100 UNITS/ML","Prescription","AP",0,"Heparin Lock Flush In Plastic Container","Heparin Sodium","Heparin Sodium Preservative Free",TRUE
5292,1,"Tablet; Oral","0.02MG","Discontinued",,0,"Estinyl","Ethinyl Estradiol","Heparin Lock Flush In Plastic Container",TRUE
5292,2,"Tablet; Oral","0.05MG","Discontinued",,0,"Estinyl","Ethinyl Estradiol","Estinyl",TRUE
5292,3,"Tablet; Oral","0.5MG","Discontinued",,0,"Estinyl","Ethinyl Estradiol","Estinyl",TRUE
5319,1,"Injectable; Injection",100.00%,"Discontinued",,0,"Pantopaque","Iophendylate","Estinyl",TRUE
5378,2,"Tablet; Oral","5MG","Prescription","AA",1,"Desoxyn","Methamphetamine Hydrochloride","Pantopaque",TRUE
5378,3,"Tablet, Extended Release; Oral","10MG","Discontinued",,0,"Desoxyn","Methamphetamine Hydrochloride","Desoxyn",TRUE
5378,4,"Tablet, Extended Release; Oral","5MG","Discontinued",,0,"Desoxyn","Methamphetamine Hydrochloride","Desoxyn",TRUE
5378,5,"Tablet, Extended Release; Oral","15MG","Discontinued",,0,"Desoxyn","Methamphetamine Hydrochloride","Desoxyn",TRUE
5490,2,"Tablet; Oral","0.05MG","Discontinued",,0,"Lynoral","Ethinyl Estradiol","Desoxyn",TRUE
5490,3,"Tablet; Oral","0.01MG","Discontinued",,0,"Lynoral","Ethinyl Estradiol","Lynoral",TRUE
5509,1,"Capsule; Oral","50MG","Discontinued",,0,"Dicumarol","Dicumarol","Lynoral",TRUE
5509,3,"Capsule; Oral","25MG","Discontinued",,0,"Dicumarol","Dicumarol","Dicumarol",TRUE
5521,1,"Injectable; Injection","1,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Dicumarol",TRUE
5521,2,"Injectable; Injection","10,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Heparin Sodium",TRUE
5521,4,"Injectable; Injection","20,000 UNITS/ML","Discontinued",,0,"Heparin Sodium","Heparin Sodium","Heparin Sodium",TRUE
5545,3,"Tablet; Oral","25MG","Discontinued",,0,"Dicumarol","Dicumarol","Heparin Sodium",TRUE
5545,4,"Tablet; Oral","50MG","Discontinued",,0,"Dicumarol","Dicumarol","Dicumarol",TRUE
5545,5,"Tablet; Oral","100MG","Discontinued",,0,"Dicumarol","Dicumarol","Dicumarol",TRUE
5619,1,"Injectable; Injection",20.00%,"Prescription",,1,"Aminohippurate Sodium","Aminohippurate Sodium","Dicumarol",TRUE
5620,1,"Injectable; Injection","12.5GM/50ML","Discontinued",,0,"Mannitol 25%","Mannitol","Aminohippurate Sodium",TRUE
5657,1,"Injectable; Injection","3MG/ML","Discontinued",,0,"Tubocurarine Chloride","Tubocurarine Chloride","Mannitol 25%",TRUE
5691,2,"Tablet; Oral","130CSR UNIT","Discontinued",,0,"Vertavis","Veratrum Viride Root","Tubocurarine Chloride",TRUE
5725,1,"Injectable; Injection","10MG/ML","Discontinued",,0,"Kappadione","Menadiol Sodium Diphosphate","Vertavis",TRUE
5794,1,"Cream; Vaginal","3.7%;2.86%;3.42%","Discontinued",,0,"Sultrin","Triple Sulfa (Sulfabenzamide;Sulfacetamide;Sulfathiazole)","Kappadione",TRUE
5794,2,"Tablet; Vaginal","184MG;143.75MG;172.5MG","Discontinued",,0,"Sultrin","Triple Sulfa (Sulfabenzamide;Sulfacetamide;Sulfathiazole)","Sultrin",TRUE
5795,1,"Ointment; Topical",0.20%,"Discontinued",,0,"Furacin","Nitrofurazone","Sultrin",TRUE
5845,1,"Capsule; Oral","50MG","Discontinued",,0,"Benadryl","Diphenhydramine Hydrochloride","Furacin",TRUE
5845,4,"Elixir; Oral","12.5MG/5ML","Discontinued",,0,"Benadryl","Diphenhydramine Hydrochloride","Benadryl",TRUE
5845,7,"Capsule; Oral","25MG","Discontinued",,0,"Benadryl","Diphenhydramine Hydrochloride","Benadryl",TRUE
5856,2,"Solution; Oral","200MG/5ML","Discontinued",,0,"Tridione","Trimethadione","Benadryl",TRUE
5856,5,"Capsule; Oral","300MG","Discontinued",,0,"Tridione","Trimethadione","Tridione",TRUE
5856,9,"Tablet; Oral","150MG","Prescription",,1,"Tridione","Trimethadione","Tridione",TRUE
5897,4,"Tablet; Oral","1MG","Discontinued",,0,"Folvite","Folic Acid","Tridione",TRUE
5897,8,"Injectable; Injection","5MG/ML","Discontinued",,0,"Folvite","Folic Acid","Folvite",TRUE
5914,2,"Tablet; Oral","50MG","Discontinued",,0,"Pbz","Tripelennamine Hydrochloride","Folvite",TRUE
5914,4,"Elixir; Oral","EQ 25MG HCL/5ML","Discontinued",,0,"Pbz","Tripelennamine Citrate","Pbz",TRUE
5929,1,"Injectable; Injection","1MG/ML","Prescription","AP",1,"D.H.E. 45","Dihydroergotamine Mesylate","Pbz",TRUE
5932,12,"Injectable; Injection",5.00%,"Discontinued",,0,"Aminosol 5%","Protein Hydrolysate","D.H.E. 45",TRUE
5939,1,"Injectable; Injection",10.00%,"Prescription",,1,"Bal","Dimercaprol","Aminosol 5%",TRUE
5963,1,"Solution/Drops; Ophthalmic",10.00%,"Discontinued",,0,"Sodium Sulamyd","Sulfacetamide Sodium","Bal",TRUE
5963,2,"Ointment; Ophthalmic",10.00%,"Discontinued",,0,"Sodium Sulamyd","Sulfacetamide Sodium","Sodium Sulamyd",TRUE
5963,3,"Solution/Drops; Ophthalmic",30.00%,"Discontinued",,0,"Sodium Sulamyd","Sulfacetamide Sodium","Sodium Sulamyd",TRUE
5970,4,"Injectable; Injection","1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Sotradecol","Sodium Tetradecyl Sulfate","Sodium Sulamyd",TRUE
5970,5,"Injectable; Injection","3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Sotradecol","Sodium Tetradecyl Sulfate","Sotradecol",TRUE
6002,1,"Tablet; Oral","EQ 300MG BASE","Prescription","AA",1,"Aralen","Chloroquine Phosphate","Sotradecol",TRUE
6002,2,"Injectable; Injection","EQ 40MG BASE/ML","Discontinued",,0,"Aralen Hydrochloride","Chloroquine Hydrochloride","Aralen",TRUE
6008,1,"Tablet; Oral","100MG **Federal Register determination that the product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Mesantoin","Mephenytoin","Aralen Hydrochloride",TRUE
6012,3,"Capsule; Oral","182MG;0.33MG","Discontinued",,0,"Folvron","Ferrous Sulfate; Folic Acid","Mesantoin",TRUE
6035,3,"Tablet; Oral","0.2MG","Prescription",,1,"Methergine","Methylergonovine Maleate","Folvron",TRUE
6035,4,"Injectable; Injection","0.2MG/ML","Prescription","AP",1,"Methergine","Methylergonovine Maleate","Methergine",TRUE
6044,3,"Tablet, Delayed Release; Oral","165MG","Discontinued",,0,"Diasone Sodium","Sulfoxone Sodium","Methergine",TRUE
6071,3,"Injectable; Injection","50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML","Discontinued",,0,"Berocca Pn","Ascorbic Acid; Biotin; Cyanocobalamin; Dexpanthenol; Ergocalciferol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5'-Phosphate Sodium; Thiamine Hydrochloride; Vitamin A Palmitate; Vitamin E","Diasone Sodium",TRUE
6095,1,"Injectable; Injection","3MG/ML","Discontinued",,0,"Tubocurarine Chloride","Tubocurarine Chloride","Berocca Pn",TRUE
6110,5,"Cream; Vaginal",0.01%,"Discontinued",,0,"Dienestrol","Dienestrol","Tubocurarine Chloride",TRUE
6134,2,"Tablet; Oral","5MG","Prescription","AA",1,"Dolophine Hydrochloride","Methadone Hydrochloride","Dienestrol",TRUE
6134,4,"Syrup; Oral","10MG/30ML","Discontinued",,0,"Dolophine Hydrochloride","Methadone Hydrochloride","Dolophine Hydrochloride",TRUE
6134,10,"Tablet; Oral","10MG","Prescription","AA",1,"Dolophine Hydrochloride","Methadone Hydrochloride","Dolophine Hydrochloride",TRUE
6135,3,"Tablet; Oral","1MG","Discontinued",,0,"Folic Acid","Folic Acid","Dolophine Hydrochloride",TRUE
6146,1,"Injectable; Injection","10MG/ML","Discontinued",,0,"Benadryl","Diphenhydramine Hydrochloride","Folic Acid",TRUE
6146,2,"Injectable; Injection","50MG/ML","Prescription","AP",1,"Benadryl","Diphenhydramine Hydrochloride","Benadryl",TRUE
6170,3,"Injectable; Injection",5.00%,"Discontinued",,0,"Hyprotigen 5%","Protein Hydrolysate","Benadryl",TRUE
6188,1,"Tablet; Oral","50MG","Prescription","BD",1,"Propylthiouracil","Propylthiouracil","Hyprotigen 5%",TRUE
6203,1,"Injectable; Injection","2.5MG/ML","Discontinued",,0,"Heavy Solution Nupercaine","Dibucaine Hydrochloride","Propylthiouracil",TRUE
6213,1,"Tablet; Oral","50MG","Discontinued",,0,"Propylthiouracil","Propylthiouracil","Heavy Solution Nupercaine",TRUE
6270,3,"Soap; Topical",2.00%,"Discontinued",,0,"Gamophen","Hexachlorophene","Propylthiouracil",TRUE
6309,1,"Cream; Topical",1.00%,"Discontinued",,0,"Kwell","Lindane","Gamophen",TRUE
6309,3,"Lotion; Topical",1.00%,"Discontinued",,0,"Kwell","Lindane","Kwell",TRUE
6317,7,"Suspension; Oral","250MG/5ML;250MG/5ML","Discontinued",,0,"Sulfonamides Duplex","Sulfadiazine; Sulfamerazine","Kwell",TRUE
6317,11,"Tablet; Oral","167MG;167MG;167MG","Discontinued",,0,"Neotrizine","Trisulfapyrimidines (Sulfadiazine;Sulfamerazine;Sulfamethazine)","Sulfonamides Duplex",TRUE
6317,12,"Suspension; Oral","167MG/5ML;167MG/5ML;167MG/5ML","Discontinued",,0,"Neotrizine","Trisulfapyrimidines (Sulfadiazine;Sulfamerazine;Sulfamethazine)","Neotrizine",TRUE
6325,1,"Injectable; Injection","3MG/ML","Discontinued",,0,"Tubocurarine Chloride","Tubocurarine Chloride","Neotrizine",TRUE
6327,2,"Solution; Inhalation",0.50%,"Discontinued",,0,"Isuprel","Isoproterenol Hydrochloride","Tubocurarine Chloride",TRUE
6327,3,"Solution; Inhalation",1.00%,"Discontinued",,0,"Isuprel","Isoproterenol Hydrochloride","Isuprel",TRUE
6328,1,"Tablet; Rectal, Sublingual","10MG","Discontinued",,0,"Isuprel","Isoproterenol Hydrochloride","Isuprel",TRUE
6328,2,"Tablet; Rectal, Sublingual","15MG","Discontinued",,0,"Isuprel","Isoproterenol Hydrochloride","Isuprel",TRUE
6333,8,"Elixir; Oral","EQ 165MG BASE/15ML","Discontinued",,0,"Synophylate","Theophylline Sodium Glycinate","Isuprel",TRUE
6343,2,"Injectable; Injection","150 UNITS/ML","Discontinued",,0,"Wydase","Hyaluronidase","Synophylate",TRUE
6343,5,"Injectable; Injection","1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Wydase","Hyaluronidase","Wydase",TRUE
6343,6,"Injectable; Injection","150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**","Discontinued",,0,"Wydase","Hyaluronidase","Wydase",TRUE
6383,2,"Powder; For Rx Compounding","50GM/BOT","Prescription",,0,"Methadone Hydrochloride","Methadone Hydrochloride","Wydase",TRUE
6383,3,"Powder; For Rx Compounding","100GM/BOT","Prescription",,0,"Methadone Hydrochloride","Methadone Hydrochloride","Methadone Hydrochloride",TRUE
6383,4,"Powder; For Rx Compounding","500GM/BOT","Prescription",,0,"Methadone Hydrochloride","Methadone Hydrochloride","Methadone Hydrochloride",TRUE
6403,5,"Injectable; Injection","25MG/ML","Discontinued",,0,"Priscoline","Tolazoline Hydrochloride","Methadone Hydrochloride",TRUE
6412,14,"Tablet; Oral","25MG","Discontinued",,0,"Decapryn","Doxylamine Succinate","Priscoline",TRUE
6412,15,"Tablet; Oral","12.5MG","Discontinued",,0,"Decapryn","Doxylamine Succinate","Decapryn",TRUE
6441,1,"Tablet; Oral","EQ 200MG BASE","Discontinued",,0,"Camoquin Hydrochloride","Amodiaquine Hydrochloride","Decapryn",TRUE
6459,1,"Tablet; Oral","50MG","Discontinued",,0,"Hetrazan","Diethylcarbamazine Citrate","Camoquin Hydrochloride",TRUE
6460,2,"Injectable; Injection","10MG/ML","Discontinued",,0,"Protamine Sulfate","Protamine Sulfate","Hetrazan",TRUE
6470,1,"Injectable; Injection","EQ 90MG CALCIUM/5ML","Discontinued",,0,"Calcium Gluceptate","Calcium Gluceptate","Protamine Sulfate",TRUE
6488,2,"Injectable; Injection",2.00%,"Prescription","AP",1,"Xylocaine","Lidocaine Hydrochloride","Calcium Gluceptate",TRUE
6488,3,"Injectable; Injection","0.01MG/ML;2%","Discontinued",,0,"Xylocaine W/ Epinephrine","Epinephrine; Lidocaine Hydrochloride","Xylocaine",TRUE
6488,4,"Injectable; Injection","0.01MG/ML;1%","Prescription","AP",1,"Xylocaine W/ Epinephrine","Epinephrine; Lidocaine Hydrochloride","Xylocaine W/ Epinephrine",TRUE
6488,5,"Injectable; Injection","0.02MG/ML;2%","Prescription","AP",1,"Xylocaine W/ Epinephrine","Epinephrine; Lidocaine Hydrochloride","Xylocaine W/ Epinephrine",TRUE
